Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
SEDGEWOOD MANOR ASSISTED LIVING,1645 RIDGE RD,HOPKINS,SC,29061-8432,Richland,803-776-3873, PH#: ,JOE.HUNT@SEDGEWOOD.COM,,CRC-2178 / 11/30/2021,Richland / Limited Liability,,,,,SEDGEWOOD MANOR HEALTH CARE CENTER LLC,N,N,16,,-80.844179,33.96167,HLRESIDENTIALCARE,514396.2829,3757916.969
SENECA RESIDENTIAL CARE CENTER,126 TOKEENA RD,SENECA,SC,29678-1744,Oconee,864-882-7390,"LLANES, JOWIL PH#: ",SENECARESIDENTIAL@GMAIL.COM,,CRC-0337 / 12/31/2021,Oconee / Sole Proprietorship,PO BOX 428,SENECA,SC,29679-0428,WILBURN E HAMMERS,N,N,33,33,-82.9629158,34.65632314,HLRESIDENTIALCARE,320122.4615,3836684.251
SERENITY MANOR OF HOLLY HILL,656 GARDNER BLVD,HOLLY HILL,SC,29059-8450,Orangeburg,803-496-3022,"RILEY, LUTHER, III. PH#: 803-496-3022",LUTHER.RILEY@YAHOO.COM,LUTHER.RILEY@YAHOO.COM,CRC-1516 / 07/31/2021,Orangeburg / Limited Liability,704 SHELLEY RD,CHARLESTON,SC,29407-7023,SERENITY MANOR OF HOLLY HILL LLC,N,N,5,,-80.413835,33.317554,HLRESIDENTIALCARE,554560.58,3686645.184
SEVILLE'S RESIDENTIAL CARE FACILITY,109 BENNETT LN,HAMPTON,SC,29924-1375,Hampton,803-914-0105,"JENKINS, GENORA W. PH#: 803-914-0105",KAMILLE.JENKINS@GMAIL.COM,KAMILLE.JENKINS@GMAIL.COM,CRC-1178 / 08/31/2021,Hampton / Sole Proprietorship,109 BENNETT LN,HAMPTON,SC,29924-1375,GENORA W JENKINS,N,N,10,10,-81.09979684,32.86911872,HLRESIDENTIALCARE,490663.6535,3636781.998
SHEM CREEK HEALTH CENTER,1400 LIBERTY MIDTOWN DR,MOUNT PLEASANT,SC,29464,Charleston,843-936-2801,"FURLOUGH, CYNTHIA L. PH#: 843-352-4986",LFURLOUGH@LIBERTYSENIORLIVING.COM,LFURLOUGH@LIBERTYSENIORLIVING.COM,CRC-1952 / 07/31/2021,Charleston / Limited Liability,1400 LIBERTY MIDTOWN DR,MOUNT PLEASANT,SC,29464,SOUTH BAY AT MT PLEASANT LLC,Y,Y,110,,-79.85950388,32.8180114,HLRESIDENTIALCARE,608596.4036,3631068.766
SHEPHERD'S CARE CENTER,2100 N PLEASANTBURG DR,GREENVILLE,SC,29609-3156,Greenville,864-322-6212,"THOMPSON, ERIC M. PH#: 864-322-6212",ETHOMPSO@SHEPHERDSCARECENTER.COM,ETHOMPSO@SHEPHERDSCARECENTER.COM,CRC-1326 / 10/31/2021,Greenville / Ltd. Liability,2100 N PLEASANTBURG DR,GREENVILLE,SC,29609-3156,SHEPHERD'S CARE CENTER LLC,Y,Y,90,90,-82.37288901,34.8891674,HLRESIDENTIALCARE,374548.7338,3861612.06
SHERMAN RESIDENTIAL CARE,20 MAYFIELD ST,GREENVILLE,SC,29601-1815,Greenville,864-242-0401, PH#: ,0911BEAUTYJ@GMAIL.COM,,CRC-2009 / 02/28/2022,Greenville / Limited Liability,20 MAYFIELD ST,GREENVILLE,SC,29601-1815,SHERMAN RESIDENTIAL CARE 2 LLC,N,N,16,,-82.407969,34.852102,HLRESIDENTIALCARE,371285.314,3857545.765
SIX MILE RETIREMENT CENTER,120 S MAIN ST,SIX MILE,SC,29682-9332,Pickens,864-868-9050, PH#: ,SRETIREMENT@ATT.NET,,CRC-0542 / 09/30/2021,Pickens / Sole Proprietorship,PO BOX 210,SIX MILE,SC,29682-0210,WILBURN E HAMMERS,N,N,41,41,-82.81816107,34.803418,HLRESIDENTIALCARE,333684.174,3852749.673
SOMERBY OF MOUNT PLEASANT,3100 TRADITION CIR,MOUNT PLEASANT,SC,29466-7153,Charleston,843-849-3096,"CURE, CANDY D. PH#: 843-849-3096",CANDY.CURE@SOMERBYLIVING.COM,,CRC-2048 / 02/28/2022,Charleston / Limited Liability,1000 LEGION PL STE 1600,ORLANDO,FL,32801,TRADITION SENIOR CARE LLC,Y,Y,118,,-79.79363751,32.89535805,HLRESIDENTIALCARE,612829.6437,3640331.592
SOUTH ISLAND LIVING LLC,2902 S ISLAND RD,GEORGETOWN,SC,29440-4420,Georgetown,843-545-5427, PH#: ,ADMIN@SOUTHISLANDLIVING.COM,,CRC-2194 / 04/30/2022,Georgetown / Limited Liability,,,,,SOUTH ISLAND LIVING LLC,N,N,48,,-79.299648,33.327142,HLRESIDENTIALCARE,658260.4224,3688845.349
SOUTHERN HERITAGE,1713 CHARLESTON HWY,WEST COLUMBIA,SC,29169-5051,Lexington,803-796-3113,"DOUGLAS, JONATHAN PH#: 803-796-3113",JDQCSI@AOL.COM,JDQCSI@AOL.COM,CRC-0993 / 03/31/2022,Lexington / Corporation,PO BOX 25215,COLUMBIA,SC,29224-5215,QUALITY CARE SERVICES INC,N,N,10,10,-81.07825505,33.96749131,HLRESIDENTIALCARE,492770.5628,3758554.246
SOUTHERN OAKS PERSONAL CARE HOME,120 ROPER MOUNTAIN RD EXT,GREENVILLE,SC,29615-4823,Greenville,864-288-3271,"MURPHY-DAVIS, TYQUANNA PH#: 864-288-3271",MHOLTZCLAW@BLUERIDGERX.COM,,CRC-1931 / 06/30/2021,Greenville / Limited Liability,80 MEDICAL DR,WOODRUFF,SC,29388,PATRIOT LIVING LLC,N,N,64,,-82.31881857,34.85147285,HLRESIDENTIALCARE,379434.8461,3857365.18
SPRENGER HEALTHCARE AT PORT ROYAL ASSISTED LIVING,1810 RICHMOND AVE,PORT ROYAL,SC,29935,Beaufort,843-781-7700,"GUEST, BENJAMIN PH#: 843-781-7700",JCOE@SPRENGERHEALTHCARECOM,BGUEST@SPRENGERHEALTHCARE.COM,CRC-2016 / 05/31/2022,Beaufort / Corporation,3905 OBERLIN AVE,LORAIN,OH,44053,SPRENGER HEALTHCARE OF PORT ROYAL INC,N,N,59,,-80.68888,32.383536,HLRESIDENTIALCARE,529281.8489,3583042.941
SPRENGER HEALTHCARE OF BLUFFTON ASSISTED LIVING,60 OKATIE DR,OKATIE,SC,29909,Beaufort,843-548-2500,"QUANDAHL, EMILY PH#: ",EQUANDAHL@SPRENGERHEALTHCARE.COM,EQUANDAHL@SPRENGERHEALTHCARE.COM,CRC-2042 / 03/31/2022,Beaufort / Corporation,60 OKATIE DR,OKATIE,SC,29909,SPRENGER HEALTHCARE OF BLUFFTON INC,N,N,58,,-80.91117884,32.31507208,HLRESIDENTIALCARE,508360.819,3575363.39
SPRING PARK ASSISTED LIVING,925 N MAIN ST,TRAVELERS REST,SC,29690-1553,Greenville,864-610-2435,"HAWKINS, LISA PH#: 864-610-2435; LEE-POTTER, KEARA PH#: 864-610-2435",LHAWKINS@SPRINGPARKTRAVELERSREST.COM,ADMIN@SPRINGPARKSC.COM,CRC-2063 / 02/28/2022,Greenville / Limited Liability,2700 HWY 280 STE 460E,BIRMINGHAM,AL,35223,AFF18 SPRING PARK ALF LLC,Y,Y,80,,-82.458779,34.976984,HLRESIDENTIALCARE,366841.8562,3871462.488
SPRINGFIELD PLACE RESIDENTIAL CARE,2006 SPRINGFIELD CIR,NEWBERRY,SC,29108-3084,Newberry,803-405-1585, PH#: ,KMONTGOMERY@NEWBERRYCCRC.COM,,CRC-1250 / 02/28/2022,Newberry / Limited Liability,2006 SPRINGFIELD CIR,NEWBERRY,SC,29108-3084,NEWBERRY OPERATOR LLC,N,Y,50,50,-81.60139371,34.28594159,HLRESIDENTIALCARE,444649.0009,3794024.997
SPRINGHILL ASSISTED LIVING,514 S GUM ST,PAGELAND,SC,29728-9143,Chesterfield,843-675-2500, PH#: ,SPRINGHILLASSISTEDLIVING@YAHOO.COM,,CRC-1171 / 07/31/2022,Chesterfield / Corporation,514 S GUM ST,PAGELAND,SC,29728-9143,HOSPICE OF CHESTERFIELD COUNTY INC,N,N,32,32,-80.38178887,34.76790362,HLRESIDENTIALCARE,556572.0022,3847478.997
SPRINGS AT SIMPSONVILLE,214 E CURTIS ST,SIMPSONVILLE,SC,29681-2622,Greenville,864-962-8570,"MASTERSON, MARGARET J. PH#: 864-962-8570",PEGGYM@CARAVITA.COM,PEGGYM@CARAVITA.COM,CRC-1198 / 05/31/2022,Greenville / Ltd. Liability,104 S MAIN ST STE 3,SIMPSONVILLE,SC,29681-2707,CURTIS GROUP LLC,Y,Y,89,69,-82.25237893,34.73758212,HLRESIDENTIALCARE,385351.4745,3844656.6
ST GABRIEL OF MURRELLS INLET,699 PRINCE CREEK PKWY,MURRELLS INLET,SC,29576,Horry,843-353-1525,"RICHARDSON, JACQUE W. PH#: 843-353-1525",JRICHARDSON@VERITASHCG.COM,JACQUE.RICHARDSON@THRIVEATPRINCECREEK.,CRC-2110 / 07/31/2021,Horry / Limited Liability,,,,,VERITAS SENIOR LIVING LLC,Y,Y,110,,-79.048133,33.58173,HLRESIDENTIALCARE,681143.1151,3717487.653
STOKES RESIDENTIAL CARE,2525 SAINT MATTHEWS RD,ORANGEBURG,SC,29118-1319,Orangeburg,803-533-0070,"STOKES, ALBERT O. PH#: 803-533-0070",MCAKLEY18.COM,DSTOKES30@SC.RR.COM,CRC-2072 / 12/31/2021,Orangeburg / Limited Liability,1027 BERKELEY DR,ORANGEBURG,SC,29118-8356,BRIANS AND STOKES ASSISTED LIVING LLC,N,N,17,,-80.846916,33.532285,HLRESIDENTIALCARE,514214.0585,3710309.125
STRATFORD PLACE GOOSE CREEK - ASSISTED LIVING,97 BRIDGETOWN RD,GOOSE CREEK,SC,29445,Berkeley,843-300-1951,"REINHEIMER, CYNTHIA H. PH#: 843-300-1951",GCCD@STRATFORDPLACE.COM,CINDY.REINHEIMER@YAHOO.COM,CRC-2096 / 01/31/2022,Berkeley / Corporation,,,,,SPGCAL INC,N,N,34,,-80.048081,33.010661,HLRESIDENTIALCARE,588915.4103,3652871.238
STRATFORD PLACE OF GOOSE CREEK MEMORY CARE,95 BRIDGETOWN RD,GOOSE CREEK,SC,29445,Berkeley,843-300-1952,"REINHEIMER, CYNTHIA H. PH#: 843-300-1951",GCCD@STRATFORDPLACE.COM,CINDY.REINHEIMER@YAHOO.COM,CRC-1919 / 02/28/2022,Berkeley / Corporation,1327 SMYTHE ST,DANIEL ISLAND,SC,29492,SPGCMC INC,Y,Y,34,,-80.049742,33.008923,HLRESIDENTIALCARE,588761.9903,3652677.157
SUMMIT HILLS ASSISTED LIVING COMMUNITY,100 SUMMIT HILLS DR,SPARTANBURG,SC,29307-1532,Spartanburg,864-591-2222,"SCHINDLER, GREGORY PH#: 864-591-2222",LICENSING@SUMMIT-HILLS.COM,LICENSING@SUMMIT-HILLS.COM,CRC-1113 / 09/30/2021,Spartanburg / Ltd. Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,SUMMIT HILLS LLC,Y,Y,79,57,-81.89072293,34.98389125,HLRESIDENTIALCARE,418703.0016,3871618.996
SUMMIT PLACE OF ANDERSON,107 PERPETUAL SQUARE DR,ANDERSON,SC,29621-1713,Anderson,864-222-9880,"COOLEY, LARINDA PH#: 864-222-9880",LCOOLEY@CAPITALSENIORLIVING.NET,LCOOLEY@CAPITALSENIORLIVING.NET,CRC-1151 / 10/31/2021,Anderson / Limited Liability,107 PERPETUAL SQUARE DR,ANDERSON,SC,29621-1713,CSL SUMMIT PLACE SC LLC,Y,Y,89,89,-82.631676,34.552062,HLRESIDENTIALCARE,350292.8543,3824579.474
SUMMIT PLACE OF BEAUFORT,1119 PICKPOCKET PLANTATION DR,BEAUFORT,SC,29902-3771,Beaufort,843-770-0105, PH#: ,LICENSING@5SSL.COM,,CRC-1375 / 06/30/2022,Beaufort / Corporation,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE TENANT TRS INC,Y,Y,87,61,-80.701887,32.438699,HLRESIDENTIALCARE,528023.581,3589102.965
SUMMIT PLACE OF DANIEL ISLAND,320 SEVEN FARMS DR,DANIEL ISLAND,SC,29492-7532,Berkeley,843-884-4104,"AMERSON, KATHERINE D. PH#: 843-884-4104",LICENSING@5SSL.COM,,CRC-1282 / 05/31/2022,Berkeley / Limited Liability,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE DANIEL ISLAND TENANT LLC,N,N,76,76,-79.91392874,32.85808422,HLRESIDENTIALCARE,601620.8874,3636076.925
SUMMIT PLACE OF NORTH MYRTLE BEACH,491 HWY 17,LITTLE RIVER,SC,29566-8082,Horry,843-399-5662,"HAYES, ELIZABETH A. PH#: ",LICENSING@5SSL.COM,,CRC-1360 / 06/30/2022,Horry / Corporation,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE N MYRTLE BEACH TENANT LLC,Y,Y,80,80,-78.64994274,33.86527278,HLRESIDENTIALCARE,717388.0011,3749702.998
SUNNY PINES BOARDING HOME,108 GAPWAY RD,ANDREWS,SC,29510-6786,Williamsburg,843-221-7436,"PAPILLION, GLORIA F. PH#: 843-221-7436",PAPION22@PEOPLEPC.COM,PAPION22@PEOPLEPC.COM,CRC-0098 / 05/31/2021,Williamsburg / Sole Proprietorship,PO BOX 732,ANDREWS,SC,29510-0732,"DUROUSSEAU, MATTIE H.",N,N,18,19,-79.57217,33.467017,HLRESIDENTIALCARE,632680.3055,3703974.193
SWEETGRASS COURT SENIOR LIVING COMMUNITY,1010 ANNA KNAPP BLVD,MOUNT PLEASANT,SC,29464-5400,Charleston,843-971-7756,"SINGLETARY, JESSICA PH#: ",JBRYANTSINGLETARY@5SSL.COM,,CRC-2117 / 01/31/2022,Charleston / Limited Liability,,,,,SNH SC TENANT LLC,N,N,38,,-79.864314,32.814881,HLRESIDENTIALCARE,606315.0466,3631336.04
TERRABELLA,104 DILLON DR,SPARTANBURG,SC,29307-1018,Spartanburg,864-948-9300, PH#: ,JPEARSON@TERRABELLASENIORLIVING.COM,,CRC-2193 / 05/31/2022,Spartanburg / Limited Liability,,,,,SPARTANBURG AL/MC LLC,Y,N,55,,-81.892815,34.980805,HLRESIDENTIALCARE,418509.052,3871278.385
THORNE RETIREMENT HOME,702 W 3RD AVE,LAKE VIEW,SC,29563,Dillon,843-759-9099,"SANDERSON, JAMES N. PH#: 843-759-9099",MARIE@LAKEFIELDPROP.COM,JAMES@LAKEFIELDPROP.COM,CRC-1968 / 03/31/2022,Dillon / Limited Liability Company (single member),702 W 3RD AVE,LAKE VIEW,SC,29563,LAKEFIELD PROPERTIES LLC,N,N,76,,-79.17339,34.34401,HLRESIDENTIALCARE,668010.9709,3801811.379
TRICOUNTY CRISIS STABILIZATION CENTER,5 CHARLESTON CENTER DR STE 246,CHARLESTON,SC,29401-1162,Charleston,843-953-2390,"OLIVER, RICHARD H. PH#: 843-953-2390",LAURA.UMINSKI@SCDMH.ORG,ROLIVER@CHARLESTONCOUNTY.ORG,CRC-1956 / 06/30/2021,Charleston / State,5 CHARLESTON CENTER DR STE 246,CHARLESTON,SC,29401-1162,CHARLESTON DORCHESTER MENTAL HEALTH CENTER,N,N,10,,-79.95098,32.783198,HLRESIDENTIALCARE,598236.4046,3627739.69
TRINITY ON LAURENS,213 LAURENS ST NW,AIKEN,SC,29801-3911,Aiken,803-643-4200,"HENRICH, CONSTANCE M. PH#: 803-643-4203",CHENRICH@TRINITYONLAURENS.ORG,CHENRICH@LHOMES.ORG,CRC-0935 / 06/30/2021,Aiken / Non-Profit Corporation,213 LAURENS ST NW,AIKEN,SC,29801-3911,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,55,55,-81.72193079,33.56434501,HLRESIDENTIALCARE,432992.1479,3714086.53
TURNING POINT CRCF,820 TOMS CREEK RD,HOPKINS,SC,29061-8798,Richland,803-647-1152,"DENNIS, DORTHEA PH#: 803-647-1152",DORTHEA.DENNIS@SCDMH.ORG,DORTHEA.DENNIS@SCDMH.ORG,CRC-2075 / 06/28/2022,Richland / State,820 TOMS CREEK RD,HOPKINS,SC,29061-8798,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,N,N,15,,-80.764998,33.980815,HLRESIDENTIALCARE,521706.8875,3760053.661
TWILITE MANOR ADULT RESIDENTIAL CARE,2306 FORREST ST,CAYCE,SC,29033-2124,Lexington,803-794-7561,"RICHARDSON-ETHERIDGE, YOLANDA PH#: 803-794-7561",LANDAETHER@GMAIL.COM,TWILITE_MANOR@SC.RR.COM,CRC-1210 / 05/31/2022,Lexington / Limited Liability,1515 12TH ST,CAYCE,SC,29033-3101,SEASHAR LLC,N,Y,28,28,-81.07202012,33.95411986,HLRESIDENTIALCARE,493345.5239,3757071.234
TYLER RESTMORE HOME,1681 BROUGHTON ST,ORANGEBURG,SC,29115-4873,Orangeburg,803-536-0740,"BLACK, EMILY T. PH#: 803-536-0740",MICHELLEANTLEY@ATT.NET,EYBLACK52@MAIL.COM,CRC-0841 / 07/31/2021,Orangeburg / Ltd. Liability,1681 BROUGHTON ST,ORANGEBURG,SC,29115-4873,TYLER RESTMORE HOME LLC,N,N,10,11,-80.87080021,33.49443622,HLRESIDENTIALCARE,512001.5423,3706109.837
TYLER RESTMORE HOME #2,195 SELLERS AVE,ORANGEBURG,SC,29115-6724,Orangeburg,803-531-2074, PH#: ,EYBLACK52@MAIL.COM,,CRC-0889 / 07/31/2021,Orangeburg / Limited Liability,195 SELLERS AVE,ORANGEBURG,SC,29115,TYLER RESTMORE HOME LLC,N,N,9,9,-80.86026754,33.48522474,HLRESIDENTIALCARE,512981.3112,3705089.837
TYLER RESTMORE HOME 3,139 SEMINOLE DR,ORANGEBURG,SC,29115-7619,Orangeburg,803-536-0060,"ANTLEY, MICHELLE L. PH#: 803-536-0060",MICHELLEANTLEY@ATT.NET,MICHELLEANTLEY@ATT.NET,CRC-2052 / 12/31/2021,Orangeburg / Limited Liability,238 ANNADALE CIR,ORANGEBURG,SC,29118,TYLER RESTMORE HOME LLC,N,N,15,,-80.852908,33.473476,HLRESIDENTIALCARE,513666.993,3703788.253
UPSTATE RESIDENTIAL CARE,1302 S MCDUFFIE ST,ANDERSON,SC,29624-2745,Anderson,864-225-6901, PH#: ,HORACEALEXANDER@MYLASOUNDS.COM,,CRC-0233 / 08/31/2021,Anderson / Sole Proprietorship,1302 S MCDUFFIE ST,ANDERSON,SC,29624-0036,"HORACE, J ALEXANDER",N,N,10,10,-82.64661589,34.49325914,HLRESIDENTIALCARE,348815.6253,3818080.246
VANGUARD RESIDENTIAL SERVICES I,100 E HOSPITAL ST,MANNING,SC,29102-3158,Clarendon,803-435-2330,"WAY, JAMES RYAN PH#: 803-435-2330",RWAY@CCDSNB.ORG,RWAY@CCDSNB.ORG,CRC-1313 / 06/30/2021,Clarendon / Non-Profit Corporation,PO BOX 40,MANNING,SC,29102-0040,VANGUARD RESIDENTIAL SERVICES INC,N,N,8,8,-80.20808527,33.687763,HLRESIDENTIALCARE,573399.0019,3727817.998
VANGUARD RESIDENTIAL SERVICES II,512 S CHURCH ST,MANNING,SC,29102-3122,Clarendon,803-435-2330, PH#: ,RWAY@CCDSNB.ORG,,CRC-1314 / 06/30/2021,Clarendon / Corporation,PO BOX 40,MANNING,SC,29102-0040,VANGUARD RESIDENTIAL SERVICES INC,N,N,8,8,-80.2090984,33.68669622,HLRESIDENTIALCARE,573306.0033,3727698.998
VANWYEVER RESIDENTIAL CARE FACILITY,2009 COSGROVE AVE,NORTH CHARLESTON,SC,29405-5702,Charleston,843-744-6065,"LADSON, PAULINE M. PH#: 843-762-6443; LADSON, PAULINE PH#: 843-762-6443",VANWYEVER1@AOL.COM,PAULINELADSON@ATT.NET,CRC-0638 / 09/30/2021,Charleston / Sole Proprietorship,PO BOX 71184,NORTH CHARLESTON,SC,29415,AYESHA T WASHINGTON ESQUIRE AS SPECIAL ADMINISTRATOR OF THE ESTATE RHODELLE W FULTON,N,N,10,11,-79.97574734,32.85725305,HLRESIDENTIALCARE,595837.3112,3635926.972
VARNVILLE COMMUNITY RESIDENCE,266 HAMPTON RD,VARNVILLE,SC,29944,Hampton,803-943-4818,"MCQUIRE, ELISE S. PH#: 803-943-4818",MELLISSA_D_MYERS23@HCBDSN.ORG,ELISEMAC@HCBDSN.ORG,CRC-1211 / 05/31/2022,Hampton / ,PO BOX 128,HAMPTON,SC,29924,HAMPTON COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-81.07569045,32.86103551,HLRESIDENTIALCARE,492918.249,3635884.037
VILLAGE COMMUNITY CARE HOME-UNIT A,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,"WILLIAMS, PHYLLIS S. PH#: 864-225-4336",VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0563 / 01/31/2022,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,11,11,-82.69379512,34.55007547,HLRESIDENTIALCARE,344589.0034,3824452.995
VILLAGE COMMUNITY CARE HOME-UNIT B,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,"WILLIAMS, PHYLLIS S. PH#: 864-225-4336",VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0564 / 01/31/2022,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,11,11,-82.69379512,34.55007547,HLRESIDENTIALCARE,344589.0034,3824452.995
VILLAGE COMMUNITY CARE HOME-UNIT C,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,"WILLIAMS, PHYLLIS S. PH#: 864-225-4336",VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0565 / 01/31/2022,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,11,11,-82.69379512,34.55007547,HLRESIDENTIALCARE,344589.0034,3824452.995
VILLAGE COMMUNITY CARE HOME-UNIT D,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,"WILLIAMS, PHYLLIS S. PH#: 864-225-4336",VILLAGECARE365@GMAIL.COM,VILLAGECARE365@GMAIL.COM,CRC-0566 / 01/31/2022,Anderson / Corporation,PO BOX 5107,ANDERSON,SC,29623-5107,VILLAGE COMMUNITY CARE HOME INC,N,N,11,11,-82.69379512,34.55007547,HLRESIDENTIALCARE,344589.0034,3824452.995
VILLAGE COVE ASSISTED LIVING,80 MAIN STREET OFFICE 100,HILTON HEAD ISLAND,SC,29926,Beaufort,843-689-9143,"NAPOLITANO, JENNIFER PH#: 843-689-9143",JENNIFER.NAPOLITANO@NAVIONSL.COM,JNAPOLITANO@BROOKDALE.COM,CRC-2097 / 09/30/2021,Beaufort / ,,,,,NAVION BKE HILTON HEAD VILLAGE LLC,N,N,52,,-80.719276,32.217102,HLRESIDENTIALCARE,526453.3781,3564534.792
VILLAGE INN COMMUNITY CARE HOME,112 POWELL ST,GRANITEVILLE,SC,29829-2906,Aiken,803-663-9495,"AYERS, HAZEL L. PH#: 803-663-9495",VILLAGEINNCCH@BELLSOUTH.NET,VILLAGEINNCCH@BELLSOUTH.NET,CRC-0396 / 04/30/2022,Aiken / Sole Proprietorship,112 POWELL ST,GRANITEVILLE,SC,29829-2906,MICHELE A HERRON,N,N,10,11,-81.81440319,33.5653521,HLRESIDENTIALCARE,424409.7497,3714261.817
VINEYARD BLUFFTON,25 CASSIDY DR,BLUFFTON,SC,29910,Beaufort,843-612-0700, PH#: ,KSUITE@VALEOGROUPE.US,,CRC-1988 / 09/30/2021,Beaufort / Limited Liability,1001 MOREHEAD SQUARE DR STE 300,CHARLOTTE,NC,28203,VINEYARD BLUFFTON OPERATIONS LLC,Y,Y,108,,-80.873571,32.247804,HLRESIDENTIALCARE,511909.7519,3567910.475
WALTERS BROTHERS RESIDENTIAL CARE FACILITY INC,110 GEDDINGS RD,SUMTER,SC,29150-8812,Sumter,803-506-2743,"WALTERS, JOHNNIE L., SR. PH#: 803-506-2743",JOHNNIE15@FTC-I.NET,JOHNNIE15@FTC-I.NET,CRC-1080 / 04/30/2022,Sumter / Sole Proprietorship,3300 OLD MANNING RD,SUMTER,SC,29150-9701,JOHNNIE L WALTERS,N,Y,20,20,-80.35466665,33.79433297,HLRESIDENTIALCARE,559738.863,3739539.535
WALTERS RESIDENTIAL CARE,821 DUKE AVE,COLUMBIA,SC,29203-5651,Richland,803-252-8918,"JOHNSON, DELORES W. PH#: 803-252-8918",WALTERS1987@BELLSOUTH.NET,WALTERS1987@BELLSOUTH.NET,CRC-0985 / 03/31/2022,Richland / Non-Profit Corporation,PO BOX 211263,COLUMBIA,SC,29221-6263,MIPD INC,N,N,35,35,-81.04391231,34.04069737,HLRESIDENTIALCARE,495946.7283,3766669.306
WARE SHOALS MANOR,10 N GREENWOOD AVE,WARE SHOALS,SC,29692-1239,Greenwood,864-456-7127,"OBI-MELEKWE, BERNICE O. PH#: 864-456-7127",OSKARMANI@AOL.COM,OSKARMANI@AOL.COM,CRC-1457 / 10/31/2021,Greenwood / Ltd. Liability,10 N GREENWOOD AVE,WARE SHOALS,SC,29692,HARMONY RESIDENTIAL CARE CENTER LLC,N,N,24,24,-82.25471501,34.4058518,HLRESIDENTIALCARE,384680.3937,3807871.061
WATERCREST COLUMBIA ASSISTED LIVING AND MEMORY CARE,1951 CLEMSON RD,COLUMBIA,SC,29229,Richland,803-771-7500,"PATTERSON, MATTHEW PH#: 000-000-0000",BPATTERSON@WATERCRESTSENIORLIVING.COM,BPATTERSON@WATERCRESTSENIORLIVING.COM,CRC-1985 / 10/31/2021,Richland / Limited Liability,1951 CLEMSON RD,COLUMBIA,SC,29229,TSL WATERCREST OPCO LLC,Y,Y,118,,-80.90953,34.139974,HLRESIDENTIALCARE,508341.0823,3777679.913
WATERCREST FORT MILL ASSISTED LIVING AND MEMORY CARE,8154 ENGLISH CLOVER LN,INDIAN LAND,SC,29707,Lancaster,803-590-7005, PH#: ,TLM926@OUTLOOK.COM,,CRC-2024 / 07/31/2021,Lancaster / Limited Liability,445 24TH ST STE 300,VERO BEACH,FL,32960-0961,WAYPOINT WATERCREST FORT MILL SL LLC,Y,Y,117,,-80.862251,34.975094,HLRESIDENTIALCARE,512573.7057,3870289.728
WATERSTONE ON AUGUSTA SENIOR LIVING,1004 AUGUSTA ST,GREENVILLE,SC,29605-3906,Greenville,864-605-7236, PH#: ,CYNTHIA.FOWLER@WATERSTONEONAUGUSTA.COM,,CRC-1945 / 03/31/2022,Greenville / Corporation,1240 E INDEPENDENCE ST STE 200,SPRINGFIELD,MO,65804,CHP GREENVILLE SC TENANT CORP,Y,Y,126,,-82.406136,34.833053,HLRESIDENTIALCARE,371423.2366,3855430.846
WE CARE RESIDENTIAL,2370 WILLISTON RD,AIKEN,SC,29803-9100,Aiken,803-652-3652,"BUSH, ETHEL E. PH#: 803-652-3652",STEMSIS54@GMAIL.COM,BUSHHS@ATLANTICBB.NET,CRC-1034 / 08/31/2021,Aiken / Corporation,2394 WILLISTON RD,AIKEN,SC,29803-9100,WE CARE RESIDENTIAL INC,N,N,55,55,-81.696572,33.393463,HLRESIDENTIALCARE,435218.9677,3695124.414
