Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Standish Middle Road Home,RCC1937,LEVEL III RESIDENTIAL CARE FACILITY,575 MIDDLE RD,Steep Falls,ME,04085-6001,Cumberland,+1 (207) 675-3116,ASSISTED HOUSING,3,7/12/21
Starks House,ALP38828,ASSISTED LIVING PROGRAM,9 PAUL ST,Dover Foxcroft,ME,04426-1050,Piscataquis,+1 (207) 564-7294,ASSISTED HOUSING,4,7/12/21
Stearns Assisted Living,ALP1027,ASSISTED LIVING PROGRAM,80 MAINE AVE,Millinocket,ME,04462-1564,Penobscot,+1 (207) 723-4445,ASSISTED HOUSING,20,7/12/21
Stinchfield Hill,RCC1638,LEVEL III RESIDENTIAL CARE FACILITY,47 STINCHFIELD HILL RD,Chesterville,ME,04938-3019,Franklin,+1 (207) 778-0492,ASSISTED HOUSING,3,7/12/21
Stoneybrook Road,RCA39198,LEVEL I RESIDENTIAL CARE FACILITY,53 STONEYBROOK RD,Hampden,ME,04444-1621,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Stroudwater Lodge,ALP38856,ASSISTED LIVING PROGRAM,116 LANDING RD,Westbrook,ME,04092-4165,Cumberland,+1 (207) 854-8333,ASSISTED HOUSING,115,7/12/21
Stroudwater Street Residence,RCC1032,LEVEL III RESIDENTIAL CARE FACILITY,537 STROUDWATER ST,Westbrook,ME,04092-4070,Cumberland,+1 (207) 854-9591,ASSISTED HOUSING,4,7/12/21
Sue Wright House,RCC38795,LEVEL III RESIDENTIAL CARE FACILITY,899A RIVERSIDE ST,Portland,ME,04103-1070,Cumberland,+1 (207) 856-8827,ASSISTED HOUSING,5,7/12/21
Summer Commons,PND39387,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,21 JUNE STREET,Sanford,ME,,,+1 (207) 206-1360,ASSISTED HOUSING,30,7/12/21
Summit 85,RCA38894,LEVEL I RESIDENTIAL CARE FACILITY,115 SUMMIT TER APT 85,South Portland,ME,04106-2274,Cumberland,+1 (207) 747-4421,ASSISTED HOUSING,2,7/12/21
Sunny Lane,RCC293,LEVEL III RESIDENTIAL CARE FACILITY,14 SUNNY LN,Sanford,ME,04073-5122,York,+1 (207) 324-6443,ASSISTED HOUSING,4,7/12/21
Sunnybrook,ALP38855,ASSISTED LIVING PROGRAM,340 BATH RD,Brunswick,ME,04011-2651,Cumberland,+1 (207) 443-9100,ASSISTED HOUSING,51,7/12/21
Sunrise Assisted Living 1 Llc,RCD39158,LEVEL IV RESIDENTIAL CARE FACILITY,11 OCEAN ST,Jonesport,ME,04649-3376,Washington,+1 (207) 497-4133,ASSISTED HOUSING,8,7/12/21
Sunrise Assisted Living 2 Llc,RCD39159,LEVEL IV RESIDENTIAL CARE FACILITY,11 OCEAN ST,Jonesport,ME,04649-3376,Washington,+1 (207) 497-4133,ASSISTED HOUSING,8,7/12/21
Sunrise Assisted Living 3 Llc,RCD39160,LEVEL IV RESIDENTIAL CARE FACILITY,11 OCEAN ST,Jonesport,ME,04649-3376,Washington,+1 (207) 497-4133,ASSISTED HOUSING,8,7/12/21
Sunrise Program,ALP38765,ASSISTED LIVING PROGRAM,2128 N BELFAST AVE,Augusta,ME,04330-4390,Kennebec,+1 (207) 626-3482,ASSISTED HOUSING,5,7/12/21
Sunset Home,PND1043,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,114 COLLEGE AVE,Waterville,ME,04901-5609,Kennebec,+1 (207) 872-8414,ASSISTED HOUSING,20,7/12/21
Support Solutions - 1008 Sabattus,RCC2,LEVEL III RESIDENTIAL CARE FACILITY,1008 SABATTUS ST,Lewiston,ME,04240-3336,Androscoggin,+1 (207) 783-0860,ASSISTED HOUSING,4,7/12/21
Support Solutions - 170 Norway,RCC1558,LEVEL III RESIDENTIAL CARE FACILITY,170 EDDIE KAHKONEN RD,Norway,ME,04268-5311,Oxford,+1 (207) 743-5252,ASSISTED HOUSING,4,7/12/21
Support Solutions - College,RCC38833,LEVEL III RESIDENTIAL CARE FACILITY,414 COLLEGE ST,Lewiston,ME,04240-5332,Androscoggin,+1 (207) 241-2330,ASSISTED HOUSING,3,7/12/21
Support Solutions - Gordon,RCC2155,LEVEL III RESIDENTIAL CARE FACILITY,36 GORDON RD,Dayton,ME,04005-7432,York,+1 (207) 499-2331,ASSISTED HOUSING,3,7/12/21
Support Solutions - Marston,RCC1985,LEVEL III RESIDENTIAL CARE FACILITY,57 MARSTON ST,Auburn,ME,04210-4325,Androscoggin,+1 (207) 784-2150,ASSISTED HOUSING,3,7/12/21
Support Solutions - Washington,RCC38794,LEVEL III RESIDENTIAL CARE FACILITY,799 WASHINGTON ST N,Auburn,ME,04210-3883,Androscoggin,+1 (207) 344-1356,ASSISTED HOUSING,3,7/12/21
Support Solutions-Montello,RCC39012,LEVEL III RESIDENTIAL CARE FACILITY,260 MONTELLO STREET,Lewiston,ME,4240,Androscoggin,+1 (207) 241-0987,ASSISTED HOUSING,3,7/12/21
Supported Living Mc,RCA38912,LEVEL I RESIDENTIAL CARE FACILITY,7 MCGEE DR APT 3,Gardiner,ME,04345-6087,Kennebec,+1 (207) 582-9039,ASSISTED HOUSING,1,7/12/21
Supported Living Program,PNC1533,PNMI LEVEL III RESIDENTIAL CARE FACILITY,15 VILLAGE ST,Lisbon,ME,04250-6416,Androscoggin,+1 (207) 353-7438,ASSISTED HOUSING,5,7/12/21
Supported Living Rl,RCA38911,LEVEL I RESIDENTIAL CARE FACILITY,27 CHAPEL ST,Augusta,ME,04330-5519,Kennebec,+1 (207) 873-2342,ASSISTED HOUSING,1,7/12/21
"Surry House, The",RCD38617,LEVEL IV RESIDENTIAL CARE FACILITY,99 PATTEN POND RD,Surry,ME,04684-3329,Hancock,+1 (207) 664-2906,ASSISTED HOUSING,8,7/12/21
Sweet Seniors Guest House,PND1045,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,30 PINE ST,East Millinocket,ME,04430-1120,Penobscot,+1 (207) 746-3111,ASSISTED HOUSING,16,7/12/21
Sylvan Avenue,RCA38946,LEVEL I RESIDENTIAL CARE FACILITY,28 SYLVAN AVE,Lewiston,ME,04240-5533,Androscoggin,+1 (207) 784-6663,ASSISTED HOUSING,2,7/12/21
Sylvia Ross Home-Assisted Living,ALP2047,ASSISTED LIVING PROGRAM,758 BROADWAY,Bangor,ME,04401-3224,Penobscot,+1 (207) 992-2674,ASSISTED HOUSING,40,7/12/21
Tall Pines Adult Day Program,ADS2159,ADULT DAY SERVICES PROGRAM,24 MARTIN LN,Belfast,ME,04915-6099,Waldo,+1 (207) 930-7031,ASSISTED HOUSING,20,7/12/21
Tall Pines Cla,RCC1048,LEVEL III RESIDENTIAL CARE FACILITY,30 TALL PINES DR,New Gloucester,ME,04260-4025,Cumberland,+1 (207) 777-1107,ASSISTED HOUSING,3,7/12/21
Tammy'S Foster Home,RCA1052,LEVEL I RESIDENTIAL CARE FACILITY,119 TYLER ST,Van Buren,ME,04785-2211,Aroostook,+1 (207) 868-9889,ASSISTED HOUSING,2,7/12/21
Taunton Bay Manor,RCD38865,LEVEL IV RESIDENTIAL CARE FACILITY,1592 US HWY 1,Hancock,ME,04640-3840,Hancock,+1 (207) 422-0029,ASSISTED HOUSING,8,7/12/21
Temple House,RCC38749,LEVEL III RESIDENTIAL CARE FACILITY,445 MAIN ST STE B,Biddeford,ME,04005-2142,York,+1 (207) 283-4999,ASSISTED HOUSING,4,7/12/21
Ten-O-Eight Washington Avenue,RCC1056,LEVEL III RESIDENTIAL CARE FACILITY,1008 WASHINGTON AVE,Portland,ME,04103-2751,Cumberland,+1 (207) 871-7519,ASSISTED HOUSING,4,7/12/21
"Terraces, The",RCD27116,LEVEL IV RESIDENTIAL CARE FACILITY,30 COMMUNITY DR,Camden,ME,04843-2061,Knox,+1 (207) 921-6100,ASSISTED HOUSING,62,7/12/21
Third Street 1,RCA38959,LEVEL I RESIDENTIAL CARE FACILITY,135 THIRD ST APT 1,Auburn,ME,04210-6767,Androscoggin,+1 (207) 795-6737,ASSISTED HOUSING,2,7/12/21
Third Street 2,PNA38962,PNMI LEVEL I RESIDENTIAL CARE FACILITY,135 THIRD ST APT 2,Auburn,ME,04210-6767,Androscoggin,+1 (207) 795-6737,ASSISTED HOUSING,2,7/12/21
Timberhill House,RCC2190,LEVEL III RESIDENTIAL CARE FACILITY,17 TIMBERHILL RD,Windham,ME,04062-4718,Cumberland,+1 (207) 894-2285,ASSISTED HOUSING,4,7/12/21
Tissue'S Country Estate,PND1090,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,212 FOX HILL RD,Athens,ME,04912-4719,Somerset,+1 (207) 654-2713,ASSISTED HOUSING,20,7/12/21
Topsham Adult Residential,RCC38906,LEVEL III RESIDENTIAL CARE FACILITY,12 MAIN ST,Topsham,ME,04086-1249,Sagadahoc,+1 (800) 434-3000,ASSISTED HOUSING,6,7/12/21
Topsham Home,RCA39037,LEVEL I RESIDENTIAL CARE FACILITY,35 MERRYMEETING DR,Topsham,ME,04086-1810,Sagadahoc,+1 (207) 729-6407,ASSISTED HOUSING,2,7/12/21
Topsham House,RCA39117,LEVEL I RESIDENTIAL CARE FACILITY,218 MIDDLESEX RD,Topsham,ME,04086-1575,Sagadahoc,+1 (207) 406-2344,ASSISTED HOUSING,2,7/12/21
Total Care Solutions,RCB38890,LEVEL II RESIDENTIAL CARE FACILITY,625 SOUTH RD,Holden,ME,04429-7532,Penobscot,+1 (207) 610-9084,ASSISTED HOUSING,3,7/12/21
Town Farm Road #3,RCC38779,LEVEL III RESIDENTIAL CARE FACILITY,746 TOWN FARM RD APT 3,Farmington,ME,04938-5530,Franklin,+1 (207) 860-2733,ASSISTED HOUSING,3,7/12/21
Town Farm Road 1,RCA38924,LEVEL I RESIDENTIAL CARE FACILITY,746 TOWN FARM RD UNIT 1,Farmington,ME,04938-5555,Franklin,+1 (207) 860-2809,ASSISTED HOUSING,2,7/12/21
Town Farm Road 2,RCA38925,LEVEL I RESIDENTIAL CARE FACILITY,746 TOWN FARM RD UNIT 2,Farmington,ME,04938-5555,Franklin,+1 (207) 860-2812,ASSISTED HOUSING,2,7/12/21
Treasure House At Harbor Place,RCC39144,LEVEL III RESIDENTIAL CARE FACILITY,80 HIGH ST,Belfast,ME,04915-6250,Waldo,+1 (207) 522-2388,ASSISTED HOUSING,6,7/12/21
Trusted Souls Adult Day Care,ADS38724,ADULT DAY SERVICES PROGRAM,1019 LEWISTON RD,New Gloucester,ME,04260-3412,Cumberland,+1 (207) 926-8037,ASSISTED HOUSING,20,7/12/21
Turkey Lane,RCA39081,LEVEL I RESIDENTIAL CARE FACILITY,143A TURKEY LN,Buxton,ME,04093-3509,York,+1 (207) 396-1202,ASSISTED HOUSING,2,7/12/21
Turner,RCA39017,LEVEL I RESIDENTIAL CARE FACILITY,51 WESTON RD,Turner,ME,04282-3611,Androscoggin,+1 (207) 225-5022,ASSISTED HOUSING,2,7/12/21
Twenty Three Pleasant Street,PNC1101,PNMI LEVEL III RESIDENTIAL CARE FACILITY,23 PLEASANT ST,Lewiston,ME,04240-6154,Androscoggin,+1 (207) 786-3292,ASSISTED HOUSING,5,7/12/21
Union Street,RCA39210,LEVEL I RESIDENTIAL CARE FACILITY,1380 UNION ST,Bangor,ME,04401-2702,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Union Village House,RCD1739,LEVEL IV RESIDENTIAL CARE FACILITY,36 HIGH ST,Calais,ME,04619-1709,Washington,+1 (207) 454-8700,ASSISTED HOUSING,8,7/12/21
Valley View,ALP38759,ASSISTED LIVING PROGRAM,23 WESTERN AVE,Augusta,ME,04330-7328,Kennebec,+1 (207) 873-2136,ASSISTED HOUSING,10,7/12/21
Varney Mill Road I,RCA39102,LEVEL I RESIDENTIAL CARE FACILITY,75A VARNEY MILL RD,Windham,ME,04062-5079,Cumberland,+1 (207) 893-8323,ASSISTED HOUSING,2,7/12/21
Varney Mill Road Ii,RCA39101,LEVEL I RESIDENTIAL CARE FACILITY,75B VARNEY MILL RD,Windham,ME,04062-5079,Cumberland,+1 (207) 893-8086,ASSISTED HOUSING,2,7/12/21
Venture House,RCC38702,LEVEL III RESIDENTIAL CARE FACILITY,23 VENTURA ST,Lewiston,ME,04240-4636,Androscoggin,+1 (207) 753-6824,ASSISTED HOUSING,6,7/12/21
Vera Brandes Home,PNC1114,PNMI LEVEL III RESIDENTIAL CARE FACILITY,307 MAIN ST,Thomaston,ME,04861-3900,Knox,+1 (207) 236-6008,ASSISTED HOUSING,6,7/12/21
"Vicarage By The Sea, The",RCC1073,LEVEL III RESIDENTIAL CARE FACILITY,9 VICARAGE LN,Harpswell,ME,04079-3220,Cumberland,+1 (207) 833-5480,ASSISTED HOUSING,6,7/12/21
Village Green,RCC1788,LEVEL III RESIDENTIAL CARE FACILITY,41 VILLAGE GREEN DR,Saco,ME,04072-1839,York,+1 (207) 879-1140,ASSISTED HOUSING,3,7/12/21
Village Manor,RCD39083,LEVEL IV RESIDENTIAL CARE FACILITY,15 VILLAGE DR,Corinth,ME,04427-3068,Penobscot,+1 (207) 951-6800,ASSISTED HOUSING,8,7/12/21
Village Street Apartments,PNA1804,PNMI LEVEL I RESIDENTIAL CARE FACILITY,"15 VILLAGE ST, UNITS 6 & 7",Lisbon,ME,04250-6416,Androscoggin,+1 (207) 353-7438,ASSISTED HOUSING,2,7/12/21
Vivian Street,RCA39361,LEVEL I RESIDENTIAL CARE FACILITY,34 VIVIAN ST,Westbrook,ME,04092-2744,Cumberland,+1 (207) 887-9582,ASSISTED HOUSING,2,7/12/21
Waiver Services Provider,RCA39049,LEVEL I RESIDENTIAL CARE FACILITY,4 AMES AVE,Lewiston,ME,04240-4102,Androscoggin,+1 (207) 352-8799,ASSISTED HOUSING,2,7/12/21
Waldo County Spectrum Generations Adp,ADS1131,ADULT DAY SERVICES PROGRAM,18 MERRIAM RD,Belfast,ME,04915-6915,Waldo,+1 (207) 338-1190,ASSISTED HOUSING,30,7/12/21
Waldoboro Green-Afch,RCC1541,LEVEL III RESIDENTIAL CARE FACILITY,17 MILL ST,Waldoboro,ME,04572-6013,Lincoln,+1 (207) 832-7703,ASSISTED HOUSING,6,7/12/21
Walnut Street,ALP38760,ASSISTED LIVING PROGRAM,9 WALNUT ST,Waterville,ME,04901-5784,Kennebec,+1 (207) 873-2136,ASSISTED HOUSING,7,7/12/21
Walpole Woods,RCC38719,LEVEL III RESIDENTIAL CARE FACILITY,10 OLD BARN ROAD,Walpole,ME,4573,Lincoln,+1 (207) 563-1774,ASSISTED HOUSING,4,7/12/21
Wardwell Gardens Assisted Living,ALP1135,ASSISTED LIVING PROGRAM,43 MIDDLE ST,Saco,ME,04072-3300,York,+1 (207) 284-7061,ASSISTED HOUSING,34,7/12/21
Wardwell Home For The Aging,RCD1136,LEVEL IV RESIDENTIAL CARE FACILITY,43 MIDDLE ST,Saco,ME,04072-3300,York,+1 (207) 284-7061,ASSISTED HOUSING,18,7/12/21
Warren Street,ALP38853,ASSISTED LIVING PROGRAM,28 WARREN ST,Rockland,ME,04841-3170,Knox,+1 (207) 596-0607,ASSISTED HOUSING,5,7/12/21
Washington House,RCA38937,LEVEL I RESIDENTIAL CARE FACILITY,8 WASHINGTON ST,Ellsworth,ME,04605-2124,Hancock,+1 (207) 667-7464,ASSISTED HOUSING,2,7/12/21
Washington I,RCC1138,LEVEL III RESIDENTIAL CARE FACILITY,688 WASHINGTON AVE,Portland,ME,04103-4929,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,3,7/12/21
Washington Ii,RCC1139,LEVEL III RESIDENTIAL CARE FACILITY,690 WASHINGTON AVE,Portland,ME,04103-4929,Cumberland,+1 (207) 879-0668,ASSISTED HOUSING,3,7/12/21
Washington Manor,PND1601,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,276 RAZORVILLE RD,Washington,ME,04574-3817,Knox,+1 (207) 845-2231,ASSISTED HOUSING,34,7/12/21
Washington Place,PND1141,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,40 PALMER ST,Calais,ME,04619-1306,Washington,+1 (207) 454-3663,ASSISTED HOUSING,30,7/12/21
Washington Street,RCC38757,LEVEL III RESIDENTIAL CARE FACILITY,171 WASHINGTON ST,Brewer,ME,04412-1318,Penobscot,+1 (207) 989-0187,ASSISTED HOUSING,3,7/12/21
Washington Street Adult Foster Home,RCA1143,LEVEL I RESIDENTIAL CARE FACILITY,77 WASHINGTON ST,Limerick,ME,04048-3500,York,+1 (207) 797-2512,ASSISTED HOUSING,2,7/12/21
Webster Commons,RCD22476,LEVEL IV RESIDENTIAL CARE FACILITY,6 OLD COUNTY RD,Freeport,ME,04032-6231,Cumberland,+1 (207) 865-4782,ASSISTED HOUSING,14,7/12/21
Wedgewood Street,RCC1148,LEVEL III RESIDENTIAL CARE FACILITY,2 WEDGEWOOD ST,Scarborough,ME,04074-8585,Cumberland,+1 (207) 879-0260,ASSISTED HOUSING,3,7/12/21
Welch,RCC38740,LEVEL III RESIDENTIAL CARE FACILITY,11 SHORT BENNETT RD,New Gloucester,ME,04260-3842,Cumberland,+1 (207) 808-5030 x1311,ASSISTED HOUSING,6,7/12/21
Weld Road Development,RCA38928,LEVEL I RESIDENTIAL CARE FACILITY,168 WELD RD,Wilton,ME,04294-7804,Franklin,+1 (207) 645-3200,ASSISTED HOUSING,2,7/12/21
Wellman I,RCC1150,LEVEL III RESIDENTIAL CARE FACILITY,86 WELLMAN RD,Chelsea,ME,04330-1231,Kennebec,+1 (207) 582-1283,ASSISTED HOUSING,4,7/12/21
Wellman Ii,RCC1151,LEVEL III RESIDENTIAL CARE FACILITY,84 WELLMAN RD,Chelsea,ME,04330-1231,Kennebec,+1 (207) 761-3565,ASSISTED HOUSING,4,7/12/21
Wells Post Road,RCC39023,LEVEL III RESIDENTIAL CARE FACILITY,2550 POST ROAD,Wells,ME,,,,ASSISTED HOUSING,6,7/12/21
Wescott,RCC2052,LEVEL III RESIDENTIAL CARE FACILITY,194 WESCOTT RD,South Portland,ME,04106-3420,Cumberland,+1 (207) 772-0162,ASSISTED HOUSING,4,7/12/21
Wescott Circle,RCA39174,LEVEL I RESIDENTIAL CARE FACILITY,21 WESCOTT CIR,Buxton,ME,04093-3738,York,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
West Main Street,PNC1154,PNMI LEVEL III RESIDENTIAL CARE FACILITY,75 W MAIN ST,Greene,ME,04236-4205,Androscoggin,+1 (207) 946-2767,ASSISTED HOUSING,6,7/12/21
West River House I,PNC1743,PNMI LEVEL III RESIDENTIAL CARE FACILITY,3747 W RIVER RD,Sidney,ME,04330-2433,Kennebec,+1 (207) 547-4274,ASSISTED HOUSING,5,7/12/21
West Side Place,PNC39086,PNMI LEVEL III RESIDENTIAL CARE FACILITY,74 LARKIN ST,Bangor,ME,04401-6214,Penobscot,+1 (207) 522-2388,ASSISTED HOUSING,3,7/12/21
West Valentine,RCA39228,LEVEL I RESIDENTIAL CARE FACILITY,216 W VALENTINE ST,Westbrook,ME,04092-2723,Cumberland,+1 (207) 591-0282,ASSISTED HOUSING,2,7/12/21
Westbrook Terrace,RCA39192,LEVEL I RESIDENTIAL CARE FACILITY,18 WESTBROOK TER,Hampden,ME,04444-1611,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Western Avenue,RCA39191,LEVEL I RESIDENTIAL CARE FACILITY,1298 WESTERN AVE,Hampden,ME,04444-3324,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Western Avenue Services,PNC1904,PNMI LEVEL III RESIDENTIAL CARE FACILITY,105 WESTERN AVE,Waterville,ME,04901-5278,Kennebec,+1 (207) 872-8195,ASSISTED HOUSING,5,7/12/21
Westgate Center For Rehab & Alzheimers Care,RCD22654,LEVEL IV RESIDENTIAL CARE FACILITY,750 UNION ST,Bangor,ME,04401-3125,Penobscot,+1 (207) 942-7336,ASSISTED HOUSING,39,7/12/21
Westgate Estate Pha,RCC1771,LEVEL III RESIDENTIAL CARE FACILITY,1259 AUGUSTA RD,Bowdoin,ME,04287-7721,Sagadahoc,+1 (207) 666-3331,ASSISTED HOUSING,4,7/12/21
Westminster Place,RCC2246,LEVEL III RESIDENTIAL CARE FACILITY,56 WESTMINSTER AVE,Portland,ME,04103-2431,Cumberland,+1 (207) 747-5473,ASSISTED HOUSING,5,7/12/21
Westview Drive,RCA39016,LEVEL I RESIDENTIAL CARE FACILITY,2 WESTVIEW DR,Raymond,ME,04071-6339,Cumberland,+1 (207) 302-0003,ASSISTED HOUSING,2,7/12/21
Wheelden Heights,RCA39204,LEVEL I RESIDENTIAL CARE FACILITY,32 WHEELDEN HTS,Hampden,ME,04444-1819,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Whitcomb Avenue,RCC2243,LEVEL III RESIDENTIAL CARE FACILITY,2 WHITCOMB AVE,Sanford,ME,04073-3211,York,+1 (207) 850-1037,ASSISTED HOUSING,3,7/12/21
Whitney Street,PNC38934,PNMI LEVEL III RESIDENTIAL CARE FACILITY,163 WHITNEY ST,Auburn,ME,04210-6018,Androscoggin,,ASSISTED HOUSING,3,7/12/21
"Whittier House, Inc.",RCC2308,LEVEL III RESIDENTIAL CARE FACILITY,184 RICKER RD,New Gloucester,ME,04260-3250,Cumberland,+1 (207) 926-5583,ASSISTED HOUSING,3,7/12/21
William S. Cohen Community Center,ADS1172,ADULT DAY SERVICES PROGRAM,22 TOWN FARM RD,Hallowell,ME,04347-3110,Kennebec,+1 (207) 620-1193,ASSISTED HOUSING,30,7/12/21
Williams Way,RCC39019,LEVEL III RESIDENTIAL CARE FACILITY,30 WILLIAMS WAY,South Paris,ME,04281-6586,Oxford,+1 (207) 744-2528,ASSISTED HOUSING,3,7/12/21
Wilson Place,ALP38761,ASSISTED LIVING PROGRAM,33 MOUNT PLEASANT AVE,Skowhegan,ME,04976-1678,Somerset,+1 (207) 873-2136,ASSISTED HOUSING,7,7/12/21
Wilson Street,PND1176,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,15 WILSON ST,South Portland,ME,04106-6141,Cumberland,+1 (207) 874-2201,ASSISTED HOUSING,7,7/12/21
Windham House 1,RCA39002,LEVEL I RESIDENTIAL CARE FACILITY,53 DUSTY RHOADES LN,Windham,ME,04062-5872,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Windham House 2,RCA39003,LEVEL I RESIDENTIAL CARE FACILITY,55 DUSTY RHOADES LN,Windham,ME,04062-5872,Cumberland,+1 (207) 847-2273 x309,ASSISTED HOUSING,2,7/12/21
Windham Pines,PND38688,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,20 BISHOP DR,Windham,ME,04062-4649,Cumberland,+1 (207) 892-9433,ASSISTED HOUSING,8,7/12/21
Windham Residential Facility,PND1181,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,495 RIVER RD,Windham,ME,04062-4603,Cumberland,+1 (207) 892-7141,ASSISTED HOUSING,10,7/12/21
Winding Way,RCC1963,LEVEL III RESIDENTIAL CARE FACILITY,3 WINDING WAY,Scarborough,ME,04074-8659,Cumberland,+1 (207) 883-4864,ASSISTED HOUSING,6,7/12/21
Windward Gardens,RCD22656,LEVEL IV RESIDENTIAL CARE FACILITY,105 MECHANIC ST,Camden,ME,04843-1811,Knox,+1 (207) 236-4197,ASSISTED HOUSING,20,7/12/21
Winterberry Heights,RCD38721,LEVEL IV RESIDENTIAL CARE FACILITY,932 OHIO ST,Bangor,ME,04401-1913,Penobscot,+1 (800) 358-2613,ASSISTED HOUSING,29,7/12/21
Winterberry Heights Assisted Living,ALP38675,ASSISTED LIVING PROGRAM,932 OHIO ST,Bangor,ME,04401-1913,Penobscot,+1 (207) 942-6002,ASSISTED HOUSING,66,7/12/21
Wintergreen Way,RCA39339,LEVEL I RESIDENTIAL CARE FACILITY,25 WINTERGREEN WAY,Brewer,ME,04412-9602,Penobscot,+1 (207) 573-4816,ASSISTED HOUSING,2,7/12/21
Winthrop Community Living,RCC1688,LEVEL III RESIDENTIAL CARE FACILITY,634 OLD LEWISTON RD,Winthrop,ME,04364-4119,Kennebec,+1 (207) 761-3565,ASSISTED HOUSING,3,7/12/21
Winthrop House,RCC39001,LEVEL III RESIDENTIAL CARE FACILITY,1946 US ROUTE 202,Winthrop,ME,04364-3356,Kennebec,+1 (207) 847-2273,ASSISTED HOUSING,3,7/12/21
Winthrop Terrace,RCA1729,LEVEL I RESIDENTIAL CARE FACILITY,634 OLD LEWISTON RD,Winthrop,ME,04364-4119,Kennebec,+1 (207) 377-9182,ASSISTED HOUSING,2,7/12/21
Wiscasset Green,RCD1313,LEVEL IV RESIDENTIAL CARE FACILITY,21 WASHINGTON ST,Wiscasset,ME,04578-4036,Lincoln,+1 (207) 882-1164,ASSISTED HOUSING,8,7/12/21
Wiscasset Residence,RCC2309,LEVEL III RESIDENTIAL CARE FACILITY,186 BEECHNUT HILL RD,Wiscasset,ME,04578-4679,Lincoln,+1 (207) 687-2145,ASSISTED HOUSING,3,7/12/21
Witham'S Residential Care,PNC1196,PNMI LEVEL III RESIDENTIAL CARE FACILITY,198 SHEPHERD RD,Sidney,ME,04330-2332,Kennebec,+1 (207) 547-3425,ASSISTED HOUSING,4,7/12/21
Witherell Foster Home,RCA1197,LEVEL I RESIDENTIAL CARE FACILITY,22 SANDYS WAY,Minot,ME,04258-5021,Androscoggin,+1 (207) 345-3371,ASSISTED HOUSING,1,7/12/21
Woodbridge Group Home,PND38845,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,19 WOODBRIDGE RD,York,ME,03909-1411,York,+1 (207) 363-8580,ASSISTED HOUSING,7,7/12/21
Woodford Street,RCC1203,LEVEL III RESIDENTIAL CARE FACILITY,271 WOODFORD ST,Portland,ME,04103-5605,Cumberland,+1 (207) 773-4042,ASSISTED HOUSING,4,7/12/21
Woodlands Assisted Living Of Brewer,PND1602,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,53 COLONIAL CIR,Brewer,ME,04412-1448,Penobscot,+1 (207) 989-7577,ASSISTED HOUSING,72,7/12/21
Woodlands Assisted Living Of Farmington,PND38790,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,"175 KNOWLTON CORNER RD, C/O WOODLANDS SENIOR LIVING OF FARMINGTON",Farmington,ME,04938-6200,Franklin,+1 (207) 860-3999,ASSISTED HOUSING,58,7/12/21
Woodlands Assisted Living Of Hallowell,PND1828,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,152 WINTHROP ST,Hallowell,ME,04347-3026,Kennebec,+1 (207) 623-3396,ASSISTED HOUSING,51,7/12/21
Woodlands Assisted Living Of Waterville,PND1075,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,147 W RIVER RD,Waterville,ME,04901-5070,Kennebec,+1 (207) 861-5685,ASSISTED HOUSING,58,7/12/21
Woodlands Memory Care Of Brewer,PND1895,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,53 COLONIAL CIR,Brewer,ME,04412-1448,Penobscot,+1 (207) 989-7577,ASSISTED HOUSING,32,7/12/21
Woodlands Memory Care Of Farmington,PND38714,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,175 KNOWLTON CORNER RD,Farmington,ME,04938-6200,Franklin,+1 (207) 860-3999,ASSISTED HOUSING,37,7/12/21
Woodlands Memory Care Of Hallowell,PND1829,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,152 WINTHROP ST,Hallowell,ME,04347-3026,Kennebec,+1 (207) 623-3396,ASSISTED HOUSING,31,7/12/21
