Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2556,60008909,46402,BH  ,Sycamore Glen at Quail Hollow,OP    ,506 N Ehorn Lane,Chewelah,WA,99109,Stevens,506 N Ehorn Lane,Chewelah,WA,99109,(509) 332-9152,,(866) 264-1825,1B,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Childress, Julee L. ",18,11/30/21 0:00,,,No, 
None,Assisted Living SOW,,2542,60001331,46071,BH  ,Artesian Place,OP    ,828 McPhee Rd SW,Olympia,WA,98502,Thurston,828 McPhee Rd SW,Olympia,WA,98502,,,,3E,,1002XP-12 ,"Macpherson, Valerie ",65,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2542
None,No Contract,,2036,60009535,40005,BH  ,Bonaventure of Lacey,OP    ,4528 Intelco Loop SE,Lacey,WA,98503,Thurston,3425 Boone Rd SE,Salem,OR,97317,(360) 455-8500,,(360) 455-4560,3E,,,"McDaniel, Travis B. ",126,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2036
None,Assisted Living SOW,,2275,60001091,42376,BH  ,Brookdale Olympia East,OP    ,616 LILLY RD NE,OLYMPIA,WA,98506,Thurston,616 LILLY RD NE,OLYMPIA,WA,98506,(360) 456-0601,,(360) 491-5579,3E,,1002XP-12 ,"Ramstad, Mark E. ",75,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2275
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2497,60008718,45336,BH  ,Brookdale Olympia West,OP    ,420 YAUGER WAY SW,OLYMPIA,WA,985028660,Thurston,420 YAUGER WAY SW,OLYMPIA,WA,985028660,,,(360) 236-1500,3E,,"1027XS-12 , 1006XP-12 ","Buckner, Darrin ",64,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2497
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2144,60008747,41743,BH  ,Easthaven Villa,OP    ,311 Cullens St NW,Yelm,WA,98597,Thurston,311 Cullens St NW,Yelm,WA,98597,(360) 458-2800,,(360) 458-2840,3E,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Ontiveros, Benjamin ",93,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2144
None,Enhanced Adult Residential Care,,2504,60009631,45294,BH  ,Fieldstone Cooper Point,OP    ,810 Fieldstone Dr SW,Olympia,WA,98502,Thurston,810 Fieldstone Dr SW,Olympia,WA,98502,(360) 915-5764,,,3E,,1006XP-12 ,"Kendall, Rachael ",120,5/31/22 0:00,,,No, 
None,Enhanced Adult Residential Care,,2485,60009626,45091,BH  ,Fieldstone Memory Care of Olympia,OP    ,710 Fieldstone Dr SW,Olympia,WA,98502,Thurston,710 Fieldstone Dr SW,Olympia,WA,98502,(360) 915-5737,,,3E,,1006XP-12 ,"Erwin, Lisa ",57,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2485
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1111,60001111,30405,BH  ,GARDEN COURTE ALZHEIMER COMMUNITY,OP    ,626 LILLY RD NE,OLYMPIA,WA,98506,Thurston,626 LILLY RD NE,OLYMPIA,WA,98506,(360) 491-4435,,(360) 491-4372,3E,,"1027XS-12 , 1006XP-12 ","Krall, Tawnya ",93,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1111
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,1579,60001075,30775,BH  ,HAMPTON SPECIAL CARE - TUMWATER,OP    ,1400 Trosper Rd SW,Tumwater,WA,98512,Thurston,1400 Trosper Rd SW,Tumwater,WA,98512,(360) 786-6062,,(360) 786-0820,3E,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Hennessy, Maureen A. ",56,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1579
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",,1168,60001168,30461,BH  ,Memory Care At The Lodges,OP    ,1530 CARPENTER RD SE,LACEY,WA,98503,Thurston,1420 CARPENTER RD SE,LACEY,WA,98503,(360) 455-9159,,(360) 491-1891,3D,,"1027XS-12 , 1036XP-12 ","Wing, Donna M. ",64,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1168
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2494,60000827,45383,BH  ,Olympics West Retirement Inn,OP    ,929 Trosper Rd SW,Tumwater,WA,98512,Thurston,929 Trosper Rd SW,Tumwater,WA,98512,(360) 943-9900,,(360) 956-0699,3E,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Paquette, Elicia ",100,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2494
None,No Contract,,1161,60001161,30454,BH  ,PANORAMA CITY,OP    ,1751 Circle Ln SE,Lacey,WA,98503,Thurston,1751 Circle Ln SE,Lacey,WA,98503,(360) 438-7539,,(360) 438-7535,3D,,,"Kimball, Erin ",50,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1161
None,Assisted Living SOW,,2236,60008957,42169,BH  ,Prestige Senior Living Rosemont,OP    ,215 Killion Rd NW,Yelm,WA,98597,Thurston,215 Killion Rd NW,Yelm,WA,98597,(360) 458-1800,,(360) 458-4540,3E,,1002XP-12 ,"Gaines, Robina ",70,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2236
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2571,60007873,46462,BH  ,Sequoia Village,OP    ,825 Lilly Rd NE,Olympia,WA,98506,Thurston,825 Lilly Rd NE,Olympia,WA,98506,(360) 491-0491,,(360) 491-2709,3E,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Driscoll, Carolyn ",97,8/31/21 0:00,,,No, 
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2443,60009613,44622,BH  ,The Cottages at Lacey,OP    ,8570 Martin Way E,Lacey,WA,98516,Thurston,8570 Martin Way E,Lacey,WA,98516,(360) 489-1128,,(360) 915-8807,3D,,"1027XS-12 , 1006XP-12 ","Carlock, Lisa ",40,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2443
None,Assisted Living SOW,,1709,60008955,30860,BH  ,Woodland Retirement & Assisted Living Community,OP    ,4532 INTELCO LOOP SE,LACEY,WA,98503,Thurston,3425 Boone Rd SE,SALEM,OR,97317,(360) 528-3253,,(503) 480-1164,3D,,1002XP-12 ,"Holgate, Vickie ",114,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1709
None,Assisted Living SOW,,2322,60008897,42393,BH  ,Brookdale College Place,OP    ,550 E WHITMAN DRIVE,COLLEGE PLACE,WA,99324,Walla Walla,550 E WHITMAN DRIVE,COLLEGE PLACE,WA,99324,(509) 526-7007,(509) 529-2965,,1C,,1002XP-12 ,"Veverka II, Donald L. ",95,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2322
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2498,60001097,45335,BH  ,Brookdale Walla Walla,OP    ,1460 DALLES MILITARY RD,WALLA WALLA,WA,99362,Walla Walla,1460 DALLES MILITARY RD,WALLA WALLA,WA,99362,(509) 525-2990,,(509) 522-0488,1C,,"1006XP-12 , 1002XP-12 ","Steiling, Heather ",90,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2498
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2400,60008781,44305,BH  ,Eagle Springs Senior Alzheimers Community,OP    ,20 SE Larch Ave,College Place,WA,99324,Walla Walla,20 SE Larch Ave,College Place,WA,99324,(509) 525-6335,(509) 522-5260,,1C,,"1027XS-12 , 1006XP-12 ","Wilkinson, Kimberly L. ",54,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2400
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,125,60000925,30004,BH  ,WASHINGTON ODD FELLOWS HOME,OP    ,534 Boyer Ave,Walla Walla,WA,99362,Walla Walla,534 Boyer Ave,Walla Walla,WA,99362,(509) 525-6463,,(509) 522-0578,1C,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Brigham, John R. ",123,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=125
None,No Contract,,1640,60008910,30817,BH  ,WHEATLAND VILLAGE,OP    ,1500 CATHERINE STREET,WALLA WALLA,WA,99362,Walla Walla,1500 CATHERINE STREET,WALLA WALLA,WA,99362,(509) 527-9600,,(509) 524-4040,1C,,,"Mouhammad, Noor ",113,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1640
None,No Contract,,2354,60001078,43757,BH  ,Whitman Place,OP    ,1018 Whitman St,Walla Walla,WA,99362,Walla Walla,1018 Whitman St,Walla Walla,WA,99362,(509) 522-4630,,(847) 255-1896,1C,,,"Adkins, Leigh Anne ",44,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2354
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2244,60009560,41758,BH  ,ALABAMA HOUSE,OP    ,3630 Alabama St,Bellingham,WA,98229,Whatcom,3600 Meridian Street,Bellingham,WA,98225,(360) 676-6000,,,2A,,"1036XP-12 , 1007XP-12 ","Billings, Jennifer E. ",12,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2244
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2525,60000701,45657,BH  ,Brookdale Fairhaven,OP    ,2600 Old Fairhaven Parkway,Bellingham,WA,98225,Whatcom,2600 Old Fairhaven Parkway,Bellingham,WA,98225,(360) 647-1254,,,2A,,"1006XP-12 , 1002XP-12 ","Taylor, Theresa W. ",60,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2525
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2451,60000664,44519,BH  ,Columbia Place,OP    ,2315 Williams St,Bellingham,WA,98225,Whatcom,2315 Williams St,Bellingham,WA,98225,(360) 671-3631,,(360) 671-3630,2A,,"1036XP-12 , 1007XP-12 ","Brumley, Jeanette ",35,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2451
None,Assisted Living SOW,,2481,60001131,45245,BH  ,"Cordata Court, Assisted Living & Memory Care",OP    ,4415 Columbine Dr,Bellingham,WA,98226,Whatcom,4415 Columbine Dr,Bellingham,WA,98226,,,(360) 715-8818,2A,,1002XP-12 ,"Madsen, Angela ",115,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2481
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1722,60000684,30871,BH  ,GRACE RETIREMENT HOME LLC,OP    ,2543 MOUNTAIN VIEW RD,FERNDALE,WA,98248,Whatcom,PO Box 1590,FERNDALE,WA,982481590,(360) 384-4050,,(360) 380-0730,2A,,"1036XP-12 , 1007XP-12 ","Mekonnen, Tsegaye A. ",12,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1722
None,No Contract,,2097,60001082,40889,BH  ,HIGHGATE SENIOR LIVING,OP    ,155 E KELLOGG RD,BELLINGHAM,WA,98226,Whatcom,155 E KELLOGG RD,BELLINGHAM,WA,98226,(360) 671-1459,,(360) 715-9980,2A,,,"Jackson, Jeffrey C. ",77,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2097
None,No Contract,,601,60000779,30094,BH  ,LAKE WHATCOM RESIDENTIAL & TREATMENT CENTER,OP    ,3400 AGATE HEIGHTS RD,BELLINGHAM,WA,982269472,Whatcom,3600 Meridian Street,Bellingham,WA,98225,(360) 676-7530,,,2A,,,"Billings, Jennifer E. ",67,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=601
None,No Contract,,2191,60008720,42012,BH  ,Louisa Place,OP    ,2240 Main St,Ferndale,WA,98248,Whatcom,2240 Main St,Ferndale,WA,98248,(360) 384-9017,,(360) 384-4307,2A,,,"Enos, Don ",47,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2191
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1148,60001148,30441,BH  ,LYNDEN MANOR,OP    ,905 AARON DR,LYNDEN,WA,98264,Whatcom,905 AARON DR,LYNDEN,WA,98264,(360) 354-5985,,(360) 354-0882,2A,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Chittock, Russel ",115,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1148
None,Assisted Living SOW,,1504,60008860,30719,BH  ,MEADOW GREENS,OP    ,301 HOMESTEAD BLVD,LYNDEN,WA,98264,Whatcom,301 W HOMESTEAD BLVD,LYNDEN,WA,98264,(360) 354-8200,,(360) 354-5101,2A,,1002XP-12 ,"HOWELL, JOSHUA R. ",35,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1504
None,Assisted Living SOW,,1350,60001182,30615,BH  ,ORCHARD PARK ASSISTED LIVING,OP    ,844 W ORCHARD DRIVE,BELLINGHAM,WA,98225,Whatcom,844 W ORCHARD DRIVE,BELLINGHAM,WA,98225,(360) 647-3708,,(360) 647-7908,2A,,1002XP-12 ,"Gollen, Ruth M. ",96,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1350
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2441,60000867,44780,BH  ,Rosewood Villa Assisted Living Community,OP    ,702 32ND ST,BELLINGHAM,WA,98225,Whatcom,702 32ND ST,BELLINGHAM,WA,98225,(360) 676-9193,,(360) 734-9423,2A,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Herrera, Melinda R. ",70,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2441
None,No Contract,,2517,60009598,45726,BH  ,Silverado Bellingham,OP    ,4400 Columbine Dr,Bellingham,WA,98226,Whatcom,4400 Columbine Dr,Bellingham,WA,98226,(360) 746-6675,,(360) 543-8770,2A,,,"Printy, Laura ",85,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2517
None,No Contract,,1913,60001854,30975,BH  ,SPRING CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,OP    ,223 EAST BAKERVIEW ROAD,BELLINGHAM,WA,98226,Whatcom,3425 Boone Rd SE,SALEM,OR,97317,(360) 756-2301,(360) 756-2390,,2A,,,"Margeson, Todd ",122,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1913
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1606,60001174,30792,BH  ,SUMMIT PLACE ASSISTED LIVING,OP    ,2905   CONNELLY   AVE   ,BELLINGHAM,WA,98225,Whatcom,2905   CONNELLY   AVE   ,BELLINGHAM,WA,98225,(360) 738-8447,,(360) 676-1669,2A,,"1036XP-12 , 1006XP-12 , 1002XP-12 , 1007XP-12 ","Bosman, Jozef ",47,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1606
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2576,60008761,46738,BH  ,The Bellingham at Orchard,OP    ,848 West Orchard Dr,Bellingham,WA,98225,Whatcom,848 West Orchard Dr,Bellingham,WA,98225,(360) 715-1338,,(360) 715-1355,2A,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Parker, Adam ",76,8/31/21 0:00,,,No, 
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2563,60000938,46697,BH  ,Woodway Senior Living,OP    ,1712 E Maplewood Ave,Bellingham,WA,98225,Whatcom,1712 E Maplewood Ave,Bellingham,WA,98225,(360) 647-1095,,(360) 676-5457,2A,,"1036XP-12 , 1007XP-12 ","James, Kathleen D. ",72,5/31/21 0:00,,,No, 
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2330,60008709,42465,BH  ,BISHOP PLACE SENIOR LIVING,OP    ,815 SE Klemgard St,Pullman,WA,99163,Whitman,815 SE Klemgard St,Pullman,WA,99163,(509) 334-9488,,(509) 334-7762,1B,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Brown, Laurie ",121,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2330
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2370,60008960,43994,BH  ,COMMUNITY PRIDE LLC,OP    ,102 S Bryant Blvd,Saint John,WA,99171,Whitman,PO Box 59,Saint John,WA,99171,(509) 648-4214,(509) 648-4254,,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Sadera, Isaac S. ",21,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2370
None,Assisted Living SOW,,1707,60008953,30859,BH  ,LA DOW COURT ASSISTED LIVING,OP    ,308 W California St,Garfield,WA,99130,Whitman,PO BOX 368,GARFIELD,WA,99130,(509) 635-1240,(509) 635-1406,,1B,,1002XP-12 ,"Bankus, Amanda ",16,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1707
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2226,60000832,41990,BH  ,Paul's Place,OP    ,907 S Mill Street,Colfax,WA,99111,Whitman,PO Box 469,Colfax,WA,99111,(509) 397-3433,,(509) 397-6088,1B,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Dvorak, Cynthia L. ",35,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2226
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2060,60009528,40751,BH  ,Regency Pullman,OP    ,1285 SW Center St,Pullman,WA,99163,Whitman,1285 SW Center St,Pullman,WA,99163,(509) 332-2629,,(509) 332-2749,1B,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Porter, Joseph ",84,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2060
None,No Contract,,2468,60009624,45082,BH  ,Tekoa Care Center,OP    ,330 N Madison St,Tekoa,WA,99033,Whitman,330 N Madison St,Tekoa,WA,99033,(509) 284-4501,,(509) 286-3737,1B,,,"Davison, Asher ",59,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2468
None,Assisted Living SOW,,1624,60000934,30804,BH  ,THE COURTYARD AT COLFAX,OP    ,300 S Main St,Colfax,WA,99111,Whitman,300 S Main St,Colfax,WA,99111,(509) 397-6123,,(509) 397-6367,1B,,1002XP-12 ,"Broeckel, Jennifer ",50,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1624
None,Assisted Living SOW,,2460,60008712,45017,BH  ,Avamere at Englewood Heights,OP    ,3710 Kern Way,Yakima,WA,98902,Yakima,3710 Kern Way,Yakima,WA,98902,(509) 452-5822,,(509) 452-9276,1C,,1002XP-12 ,"Owen, Lisa ",88,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2460
None,Enhanced Adult Residential Care,,2462,60001284,45018,BH  ,Avamere at Englewood Heights Memory Care,OP    ,3706 Kern Way,Yakima,WA,98902,Yakima,3706 Kern Way,Yakima,WA,98902,(509) 452-5822,,(509) 452-9276,1C,,1006XP-12 ,"Schwartzkopf, Samantha ",20,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2462
None,No Contract,,2190,60001280,42008,BH  ,Blossom Place,OP    ,5100 W Nob Hill Blvd,Yakima,WA,98908,Yakima,5100 W Nob Hill Blvd,Yakima,WA,98908,(509) 972-7862,,(847) 255-1896,1C,,,"Kuehl, Sherri ",55,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2190
None,"Assisted Living SOW, Adult Residential Care",,1695,60001175,30847,BH  ,Brookdale Yakima,OP    ,4100 Englewood Ave,Yakima,WA,98908,Yakima,4100 W ENGLEWOOD,YAKIMA,WA,98908,(509) 965-0111,,(509) 965-0333,1C,,"1002XP-12 , 1007XP-12 ","KING, CHARLOTTE ",82,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1695
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2156,60001285,41718,BH  ,Chandler House,OP    ,701 N 39th Ave,Yakima,WA,98902,Yakima,701 N 39th Ave,Yakima,WA,98902,(509) 248-1007,,(509) 249-1010,1C,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","DENISON, LYNETTE M. ",36,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2156
None,No Contract,,375,60000646,30041,BH  ,COMPREHENSIVE HEALTHCARE,OP    ,202 N 7TH ST,YAKIMA,WA,98901,Yakima,PO BOX 959,YAKIMA,WA,98907,(509) 575-4084,,(509) 575-4811,1C,,,"Stoneking, Shawna ",12,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=375
None,Assisted Living SOW,,2465,60008937,45151,BH  ,Elmcroft of Chesterley,OP    ,1100 N 35th Ave,Yakima,WA,98902,Yakima,1100 N 35th Ave,Yakima,WA,98902,,,(509) 248-2858,1C,,1002XP-12 ,"Coe, Michelle ",96,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2465
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",,2346,60009573,43745,BH  ,Fieldstone Memory Care,OP    ,4120 Englewood Ave,Yakima,WA,98908,Yakima,4120 Englewood Ave,Yakima,WA,98908,(509) 965-5282,(509) 965-5536,,1C,,"1027XS-12 , 1036XP-12 , 1006XP-12 ","Harper, Zach ",58,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2346
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2404,60009604,44248,BH  ,Fieldstone OrchardWest,OP    ,4130 Englewood Ave,Yakima,WA,98908,Yakima,4130 Englewood Avenue,Yakima,WA,98908,(509) 571-1640,,(509) 571-1643,1C,,"1006XP-12 , 1002XP-12 ","Belton, Carleen ",92,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2404
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1916,60006444,30972,BH  ,GLEED ORCHARD MANOR,OP    ,30 LINK RD,GLEED,WA,98908,Yakima,PO BOX 959,YAKIMA,WA,98907,(509) 966-5880,,(509) 966-6691,1C,,"1036XP-12 , 1007XP-12 ","Stoneking, Shawna ",30,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1916
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2502,60009622,45025,BH  ,Grandview Assisted Living,OP    ,912 Hillcrest St,Grandview,WA,98930,Yakima,912 Hillcrest St,Grandview,WA,98930,(509) 402-9040,,(509) 402-9041,1C,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Villanveva, Esther ",45,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2502
None,No Contract,,2224,60001299,42147,BH  ,HIGHGATE SENIOR LIVING,OP    ,5605 W CHESTNUT AVE,YAKIMA,WA,98908,Yakima,5605 W CHESTNUT AVE,YAKIMA,WA,98908,(509) 972-4141,,(509) 972-2161,1C,,,"BIANCHI, CAELA ",64,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2224
None,No Contract,,998,60005396,30305,BH  ,HILLCREST AT SUMMITVIEW,OP    ,3801 SUMMITVIEW AVE,YAKIMA,WA,98902,Yakima,3801 SUMMITVIEW  AVE,YAKIMA,WA,98902,(509) 966-6240,,(509) 853-3095,1C,,,"Malgasini, Dennis G. ",50,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=998
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",,1292,60001122,30567,BH  ,JUST LIKE HOME RESIDENT CARE INC,OP    ,906 NORTH AVE,SUNNYSIDE,WA,98944,Yakima,906 NORTH AVENUE,SUNNYSIDE,WA,98944,(509) 839-4663,,(509) 839-6301,1C,,"1036XP-12 , 1006XP-12 ","Strickland, Cherelyn Y. ",13,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1292
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,804,60000848,30175,BH  ,PONDEROSA RETIREMENT CENTER,OP    ,3300 ENGLEWOOD AVE,YAKIMA,WA,98902,Yakima,3300 ENGLEWOOD AVE,YAKIMA,WA,98902,(509) 453-1366,,(509) 452-4907,1C,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Ibatuan, Isaac ",85,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=804
